Author	n (strains)	publication title	journal	publication URL	strains
Arindam Maitra et al	40	unknown	unknown	unknown	hCoV-19/India/WB-1931800119269/2021,hCoV-19/India/WB-S41/2020,hCoV-19/India/WB-1931300106942/2020,hCoV-19/India/WB-1930600112109/2020,hCoV-19/India/WB-1930400408321/2021,hCoV-19/India/MZ-INSACOG-1526100726842/2021,hCoV-19/India/MZ-INSACOG-1526100559436/2021,hCoV-19/India/WB-1931300251103/2021,hCoV-19/India/WB-1930300616979/2021,hCoV-19/India/WB-1931300435076/2021,hCoV-19/India/MN-1425500118931/2021,hCoV-19/India/WB-1931501768526/2021,hCoV-19/India/WB-1931501961079/2021,hCoV-19/India/MZ-INSACOG-1526100718588/2021,hCoV-19/India/MZ-INSACOG-1526100753385/2021,hCoV-19/India/WB-INSACOG-1931300510592/2021,hCoV-19/India/MZ-INSACOG-1526100662895/2021,hCoV-19/India/MN-INSACOG-1471700006490/2021,hCoV-19/India/UT-AR9/2020,hCoV-19/India/UT-AR27/2020,hCoV-19/India/UT-AR26/2020,hCoV-19/India/MH-MW25/2020,hCoV-19/India/HR-NIBG-TF66/2020,hCoV-19/India/HR-NIBG-TF56/2020,hCoV-19/India/WB-1930400370657/2021,hCoV-19/India/KA-IB3/2020,hCoV-19/India/WB-INSACOG-1930302049471/2022,hCoV-19/India/WB-INSACOG-1932000426408/2022,hCoV-19/India/WB-INSACOG-1931502793993/2022,hCoV-19/India/MZ-INSACOG-1526101037179/2022,hCoV-19/India/MZ-INSACOG-1526101064510/2022,hCoV-19/India/WB-INSACOG-1930302037476/2022,hCoV-19/India/WB-INSACOG-1931300694890/2022,hCoV-19/India/WB-1931300719001/2022,hCoV-19/India/WB-INSACOG-1931503426845/2023,hCoV-19/India/WB-INSACOG-1931503455037/2023,hCoV-19/India/WB-INSACOG-1930302201200/2023,hCoV-19/India/WB-INSACOG-1931503453115/2023,hCoV-19/India/WB-INSACOG-1930900441131/2023,hCoV-19/India/WB-INSACOG-1930302199912/2023
Pragya Yadav et al	3	unknown	unknown	unknown	hCoV-19/India/DL-ICMR_NIV-770_P-25_7488/2020,hCoV-19/India/DL-ICMR_NIV-777_P-15_7483/2020,hCoV-19/India/DL-ICMR_NIV-777_P-25_7489/2020
Sara Mfarrej et al	2	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-MAKKAH825/2020,hCoV-19/SaudiArabia/KAUST-RIYADH1250/2020
Nitin Savaliya et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC318b/2020
OH consortium et al	1	unknown	unknown	unknown	hCoV-19/mink/Netherlands/NB-EMC-23-4/2020
Rabeh El-Shesheny et al	4	unknown	unknown	unknown	hCoV-19/Egypt/NRC-6823/2020,hCoV-19/Egypt/NRC-6985/2020,hCoV-19/Egypt/NRC-5990/2020,hCoV-19/Egypt/NRC-1039/2021
Jade Wang et al	3	unknown	unknown	unknown	hCoV-19/USA/NY-NYCPHL-000732/2020,hCoV-19/USA/NY-NYCPHL-012128/2022,hCoV-19/USA/NY-NYCPHL-018016/2023
Mélnie Albert et al	1	Introductions and early spread of SARS-CoV-2 in France	unknown	https://dx.doi.org/10.1101/2020.04.24.059576	hCoV-19/France/PDL-1643/2020
Meriem LAAMARTI et al	1	Genetic analysis of SARS-CoV-2 strains collected from North Africa: viral origins and mutational spectrum	unknown	https://www.biorxiv.org/content/10.1101/2020.06.30.181123v1	hCoV-19/Morocco/RMPS-04/2020
Erin Young et al	1	unknown	unknown	unknown	hCoV-19/USA/UT-UPHL-05273/2020
Jolene Bowers et al	2	unknown	unknown	unknown	hCoV-19/USA/AZ-TGEN-TG269358/2020,hCoV-19/USA/AZ-TG768027/2020
Matthew Sinn et al	1	unknown	unknown	unknown	hCoV-19/USA/MO-MSPHL-000885/2020
Randall J. Olsen et al	3	unknown	unknown	unknown	hCoV-19/USA/TX-HMH-MCoV-39817/2020,hCoV-19/USA/TX-HMH-MCoV-50645/2020,hCoV-19/USA/TX-HMH-MCoV-35501/2021
Mohamed Amine Beloufa et al	5	unknown	unknown	unknown	hCoV-19/Algeria/9822/2020,hCoV-19/Algeria/71348/2020,hCoV-19/Algeria/50627/2020,hCoV-19/Algeria/17808/2020,hCoV-19/Algeria/55474/2021
Adamou Lagare et al	2	unknown	unknown	unknown	hCoV-19/Niger/M82A/2021,hCoV-19/Niger/M37A/2020
Hesham Elghazaly et al	2	unknown	unknown	unknown	hCoV-19/Egypt/MASRI-C4-036/2020,hCoV-19/Egypt/MASRI-028/2020
Chepkorir E. et al	1	unknown	unknown	unknown	hCoV-19/Kenya/KEM-20-11-83425/2020
Sahukhan et al	2	unknown	unknown	unknown	hCoV-19/Australia/VIC-FJ018/2020,hCoV-19/Fiji/FJ666/2021
Mak TM et al	1	unknown	unknown	unknown	hCoV-19/Singapore/287/2020
Mélanie Albert et al	1	unknown	unknown	unknown	hCoV-19/Algeria/G40009-8862/2020
Kathrine Stene-Johansen et al	2	unknown	unknown	unknown	hCoV-19/Norway/2397/2020,hCoV-19/Norway/1861/2024
Emily A. Smith et al.	5	unknown	unknown	unknown	hCoV-19/USA/CA-CDPH-2000048628/2021,hCoV-19/USA/CA-CDPH-3000004599/2021,hCoV-19/USA/CA-CDPH-2000014016/2020,hCoV-19/USA/CA-CDPH-2000067190/2022,hCoV-19/USA/CA-CDPH-500088562/2022
Henry Lee et al	1	unknown	unknown	unknown	hCoV-19/USA/NY-PRL-2021_0614_51P07/2021
Alfredo Bruno et al	3	unknown	unknown	unknown	hCoV-19/Ecuador/NIC-INSPI-333260/2021,hCoV-19/Ecuador/NIC-INSPI-93553/2022,hCoV-19/Ecuador/NIC-INSPI-435066/2023
César Roberto Conde Pereira et al	2	unknown	unknown	unknown	hCoV-19/Guatemala/12523/2021,hCoV-19/Haiti/63230037/2021
Paola Resende et al	31	unknown	unknown	unknown	hCoV-19/Guatemala/19544/2020,hCoV-19/DominicanRepublic/33899/2021,hCoV-19/Haiti/33984/2020,hCoV-19/Bolivia/26948/2020,hCoV-19/Bolivia/26960/2020,hCoV-19/Brazil/MG-FIOCRUZ-45272/2021,hCoV-19/Brazil/RN-FIOCRUZ-58880/2021,hCoV-19/Brazil/PR-FIOCRUZ-5616/2020,hCoV-19/Brazil/RJ-FIOCRUZ-20188/2020,hCoV-19/Brazil/AC-FIOCRUZ-34619/2020,hCoV-19/Brazil/RJ-FIOCRUZ-5395/2020,hCoV-19/Brazil/AC-FIOCRUZ-34842/2020,hCoV-19/Brazil/BA-FIOCRUZ-10090/2022,hCoV-19/Brazil/SC-FIOCRUZ-20297/2022,hCoV-19/Brazil/SC-FIOCRUZ-25208/2022,hCoV-19/Brazil/SC-FIOCRUZ-3833/2024,hCoV-19/Brazil/RJ-FIOCRUZ-10804/2024,hCoV-19/Brazil/GO-FIOCRUZ-469/2024,hCoV-19/Brazil/SP-FIOCRUZ-4977/2024,hCoV-19/Brazil/TO-FIOCRUZ-10635/2024,hCoV-19/Brazil/RJ-FIOCRUZ-10579/2024,hCoV-19/Brazil/RS-FIOCRUZ-10795/2024,hCoV-19/Brazil/SP-FIOCRUZ-10171/2024,hCoV-19/Brazil/SP-FIOCRUZ-12679/2023,hCoV-19/Brazil/SC-FIOCRUZ-3493/2023,hCoV-19/Brazil/RJ-FIOCRUZ-5416/2023,hCoV-19/Brazil/AL-FIOCRUZ-6580/2023,hCoV-19/Brazil/RJ-FIOCRUZ-7557/2023,hCoV-19/Brazil/GO-FIOCRUZ-13516/2023,hCoV-19/Brazil/GO-FIOCRUZ-9903/2023,hCoV-19/Brazil/RJ-FIOCRUZ-9939/2023
Bonnie Oh et al	1	unknown	unknown	unknown	hCoV-19/USA/TX-DSHS-0380/2020
S. Wesley Long et al	4	unknown	unknown	unknown	hCoV-19/USA/TX-HMH-MCoV-8082/2020,hCoV-19/USA/TX-HMH-MCoV-24149/2021,hCoV-19/USA/TX-HMH-MCoV-31278/2021,hCoV-19/USA/TX-HMH-2076/2020
Dennis Deschka et al	1	unknown	unknown	unknown	hCoV-19/Germany/NW-KRO-783/2020
Sarah Schmedes et al	2	unknown	unknown	unknown	hCoV-19/USA/FL-BPHL-2524/2020,hCoV-19/USA/FL-BPHL-2436/2020
Mike Grose et al	1	unknown	unknown	unknown	hCoV-19/USA/KS-KHEL-1763/2020
"""R. Beukelman et al"	1	unknown	unknown	unknown	hCoV-19/USA/ID-IVREF-680715/2020
Erin L. Young et al	1	unknown	unknown	unknown	hCoV-19/USA/UT-UPHL-2103013382/2021
Seth Walk et al	1	unknown	unknown	unknown	hCoV-19/USA/MT-Walk-1876/2020
Jim Mildenberger et al	2	unknown	unknown	unknown	hCoV-19/USA/WY-WYPHL-20124441/2020,hCoV-19/USA/WY-WPHL-20125965/2020
Aaron Vancil et al	1	unknown	unknown	unknown	hCoV-19/USA/TN-2-42516-3/2020
Prystajecky Natalie et al	4	unknown	unknown	unknown	hCoV-19/Canada/BC-BCCDC-369670/2021,hCoV-19/Canada/BC-BCCDC-4233/2020,hCoV-19/Canada/BC-BCCDC-7515/2020,hCoV-19/Canada/BC-BCCDC-6717/2020
Plumb et al	1	unknown	unknown	unknown	hCoV-19/USA/MN-MDH-1936/2020
Irina Maljkovic Berry et al	5	unknown	unknown	unknown	hCoV-19/Afghanistan/2870x0095_23703/2021,hCoV-19/Afghanistan/2870x0023_23794/2021,hCoV-19/Afghanistan/2870x0097_23484/2021,hCoV-19/Afghanistan/2870x0179_23830/2021,hCoV-19/Afghanistan/2870x0078_23483/2021
Joseph Fauver et al	1	unknown	unknown	unknown	hCoV-19/USA/CT-Yale-149/2020
Kefentse Arnold Tumedi et al	1	unknown	unknown	unknown	hCoV-19/Botswana/BOT0455/2020
Teemu Smura et al	1	unknown	unknown	unknown	hCoV-19/Finland/3KS4G31/2020
Nabaes Jodar et al	3	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-A0195/2020,hCoV-19/Argentina/PAIS-A0807/2021,hCoV-19/Argentina/PAIS-A0718/2020
Baumeister E. et al	5	unknown	unknown	unknown	hCoV-19/Argentina/INEI103436/2021,hCoV-19/Argentina/INEI109433/2021,hCoV-19/Argentina/INEI097191/2020,hCoV-19/Argentina/INEI-122732/2022,hCoV-19/Argentina/INEI119405/2022
Cedro-Tanda A et al	15	unknown	unknown	unknown	hCoV-19/Mexico/CMX-INMEGEN-03-11-110/2020,hCoV-19/Mexico/CMX-INMEGEN-04-05-150/2020,hCoV-19/Mexico/TAB-INMEGEN-29-33/2021,hCoV-19/Mexico/CMX-INMEGEN-04-07-108/2020,hCoV-19/Mexico/CMX-INMEGEN-65-13/2022,hCoV-19/Mexico/CMX-INMEGEN-95-260/2022,hCoV-19/Mexico/CMX-INMEGEN-88-189/2022,hCoV-19/Mexico/CMX-INMEGEN-87-64/2022,hCoV-19/Mexico/CMX-INMEGEN-76-8/2022,hCoV-19/Mexico/CMX-INMEGEN-69-33/2022,hCoV-19/Mexico/CMX-INMEGEN-120-18/2023,hCoV-19/Mexico/MEX-INMEGEN-101-106/2023,hCoV-19/Mexico/CMX-INMEGEN-100-193/2023,hCoV-19/Mexico/CMX-INMEGEN-100-77/2023,hCoV-19/Mexico/CMX-INMEGEN-110-22/2023
Molly Mitchell et al	1	unknown	unknown	unknown	hCoV-19/USA/FL-BPHL-3632/2020
Jeong-Min Kim et al	1	unknown	unknown	unknown	hCoV-19/SouthKorea/KCDC2388/2020
Ae Kyung Park et al	6	unknown	unknown	unknown	hCoV-19/SouthKorea/KDCA0580/2020,hCoV-19/SouthKorea/KDCA4551/2021,hCoV-19/SouthKorea/KDCA1712/2021,hCoV-19/SouthKorea/KDCA17196/2021,hCoV-19/SouthKorea/KDCA10265/2021,hCoV-19/SouthKorea/KDCA4015/2021
HS Jayasinghearachchi et al	1	unknown	unknown	unknown	hCoV-19/SriLanka/KDU0132/2020
Mary Petrone et al	1	unknown	unknown	unknown	hCoV-19/USA/MA-Yale-1707/2020
Pritt Bobbi Norgan Andrew et al	2	unknown	unknown	unknown	hCoV-19/USA/MN-Mayo20277/2020,hCoV-19/USA/MN-Mayo2972/2020
Krista Queen et al B	1	unknown	unknown	unknown	hCoV-19/USA/WY-CDC-2-4044630/2020
Sokhoun Yann et al	3	unknown	unknown	unknown	hCoV-19/Cambodia/VIR2107864/2021,hCoV-19/Cambodia/112144/2020,hCoV-19/Cambodia/300363/2021
Vázquez-Morón et al	1	unknown	unknown	unknown	hCoV-19/Spain/CM-ISCIII-212396/2021
Abu-Ali et al	1	unknown	unknown	unknown	hCoV-19/Iraq/BAS-1/2020
Anthony Fries et al	4	unknown	unknown	unknown	hCoV-19/Iraq/USAFSAM-S078/2020,hCoV-19/Iraq/BG-USAFSAM-S20127/2022,hCoV-19/Iraq/BG-USAFSAM-S20132/2022,hCoV-19/SaudiArabia/SA-04-USAFSAM-S22648/2024
Fatma Bayrakdar et al A	16	unknown	unknown	unknown	hCoV-19/Turkey/HSGM-B4545/2021,hCoV-19/Turkey/HSGM-AD1/2020,hCoV-19/Turkey/HSGM-B10893/2021,hCoV-19/Turkey/HSGM-B10051/2021,hCoV-19/Turkey/HSGM-DX2075/2021,hCoV-19/Turkey/HSGM-F2924/2021,hCoV-19/Turkey/HSGM-E5989/2021,hCoV-19/Turkey/HSGM-E17745/2021,hCoV-19/Turkey/HSGM-F7840/2021,hCoV-19/Turkey/HSGM-2162/2021,hCoV-19/Turkey/HSGM-6312/2021,hCoV-19/Turkey/HSGM-G1146/2022,hCoV-19/Turkey/HSGM-F19188/2022,hCoV-19/Turkey/HSGM-GS6291/2022,hCoV-19/Turkey/HSGM-G9296/2022,hCoV-19/Turkey/HSGM-GS4593/2022
Morais J et al	11	unknown	unknown	unknown	hCoV-19/Angola/CERI-KRISP-K013525/2020,hCoV-19/Angola/CERI-KRISP-K013701/2020,hCoV-19/Angola/CERI-KRISP-K023611/2021,hCoV-19/Angola/KRISP-K010867/2021,hCoV-19/Angola/CERI-KRISP-K027371/2021,hCoV-19/Angola/CERI-KRISP-K034470/2021,hCoV-19/Angola/CERI-KRISP-K033821/2021,hCoV-19/Angola/CERI-KRISP-K021750/2021,hCoV-19/Angola/KRISP-K009722/2021,hCoV-19/Angola/CERI-KRISP-K037085/2022,hCoV-19/Angola/CERI-KRISP-K050843/2022
Amoako DG et al	7	unknown	unknown	unknown	hCoV-19/SouthAfrica/NICD-N19829/2020,hCoV-19/SouthAfrica/NICD-N5590/2021,hCoV-19/SouthAfrica/NICD-N16405/2021,hCoV-19/SouthAfrica/NICD-N3343/2021,hCoV-19/SouthAfrica/NICD-N30485/2021,hCoV-19/SouthAfrica/NICD-N42111/2022,hCoV-19/SouthAfrica/NICD-N35496/2022
Mvula B et al	3	unknown	unknown	unknown	hCoV-19/Malawi/CERI-KRISP-K015514/2021,hCoV-19/Malawi/CERI-KRISP-K015215/2021,hCoV-19/Malawi/KRISP-K010154/2020
Houriiyah Tegally et al	1	unknown	unknown	unknown	hCoV-19/SouthAfrica/NHLS-UCT-GS-1377/2020
Alfredo Mayor et al	1	unknown	unknown	unknown	hCoV-19/Mozambique/MZ-L-IBV-97025380/2021
Shabani Mziray et al	10	unknown	unknown	unknown	hCoV-19/Tanzania/KIDH-01B03/2021,hCoV-19/Tanzania/KIDH-01B04/2021,hCoV-19/Tanzania/KIDH-01B01/2021,hCoV-19/Tanzania/KIDH-01B10/2021,hCoV-19/Tanzania/KIDH-02B06/2021,hCoV-19/Tanzania/KIDH-02B10/2021,hCoV-19/Tanzania/KIDH-02B02/2021,hCoV-19/Tanzania/KIDH-03B13/2021,hCoV-19/Tanzania/KIDH-01B06/2021,hCoV-19/Tanzania/KIDH-02B14/2021
Mulenga Mwenda-Chimfwembe et al	4	unknown	unknown	unknown	hCoV-19/Zambia/ZMB-70170/2020,hCoV-19/Zambia/ZMB-83978/2021,hCoV-19/Zambia/ZMB-108839/2021,hCoV-19/Zambia/ZMB-119160/2021
Francis A. Tablizo et al	6	unknown	unknown	unknown	hCoV-19/Philippines/PH-PGC-19248/2021,hCoV-19/Philippines/PH-PGC-22232/2021,hCoV-19/Philippines/PH-PGC-03670/2020,hCoV-19/Philippines/PH-PGC-04284/2021,hCoV-19/Philippines/PH-PGC-05707/2021,hCoV-19/Philippines/PH-PGC-00054/2020
Cynthia P. Saloma et al	10	unknown	unknown	unknown	hCoV-19/Philippines/PH-PGC-57282/2021,hCoV-19/Philippines/PH-PGC-62173/2021,hCoV-19/Philippines/PH-PGC-76723/2021,hCoV-19/Philippines/PH-PGC-48972/2021,hCoV-19/Philippines/PH-PGC-103812/2021,hCoV-19/Philippines/PH-PGC-113130/2022,hCoV-19/Philippines/PH-PGC-113211/2022,hCoV-19/Philippines/PH-PGC-113117/2022,hCoV-19/Philippines/PH-PGC-112215/2022,hCoV-19/Philippines/PH-PGC-113119/2022
INSACOG-IGIB et al	12	unknown	unknown	unknown	hCoV-19/India/KL-GENESCOV02917/2021,hCoV-19/India/KL-GENESCOV00996/2020,hCoV-19/India/KL-GENESCOV02225/2021,hCoV-19/India/KL-GENESCOV00674/2020,hCoV-19/India/KL-GENESCOV08018/2021,hCoV-19/India/KL-GENESCOV02533/2021,hCoV-19/India/KL-GENESCOV04636/2021,hCoV-19/India/KL-GENESCOV00049/2020,hCoV-19/India/KL-GENESCOV00447/2020,hCoV-19/India/KL-GENESCOV00002/2020,hCoV-19/India/KL-GENESCOV01923/2021,hCoV-19/India/KL-GENESCOV02062/2021
Zhang Huan et al	1	unknown	unknown	unknown	hCoV-19/Guangzhou/ZhangHuan/2020
Zhou et al	2	unknown	unknown	unknown	hCoV-19/Guangdong/GDIPH-GDPCC-04/2021,hCoV-19/Zhejiang/ZJCDC-182/2023
Jerome Nkurunziza et al	4	unknown	unknown	unknown	hCoV-19/Burundi/UG521/2021,hCoV-19/Burundi/UG558/2021,hCoV-19/Burundi/UG862/2021,hCoV-19/Burundi/UG852/2021
Christian Ranaivoson et al	4	unknown	unknown	unknown	hCoV-19/Madagascar/IPM-61240/2021,hCoV-19/Madagascar/IPM-01919/2021,hCoV-19/Madagascar/Antananarivo-01650/2020,hCoV-19/Madagascar/IPM-61949/2021
Christian Utpatel et al	1	unknown	unknown	unknown	hCoV-19/Mozambique/COV-2342-A1991/2021
Junya Yamagishi et al	4	unknown	unknown	unknown	hCoV-19/Bangladesh/ECHD_003244/2021,hCoV-19/Bangladesh/ECHD_08899/2020,hCoV-19/Bangladesh/ECHD_01850/2020,hCoV-19/Bangladesh/ECHD_14671/2020
Mohammad Enayet Hossain et al	3	unknown	unknown	unknown	hCoV-19/Bangladesh/icddrb-7746/2021,hCoV-19/Bangladesh/icddrb-GAC2-045/2021,hCoV-19/env/Bangladesh/icddrb-030105/2020
Md. Murshed Hasan Sarkar et al	2	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-NILMRC-739/2021,hCoV-19/Bangladesh/BCSIR-DU-93/2021
CHRF Bangladesh Genomics Team et al	6	unknown	unknown	unknown	hCoV-19/Bangladesh/CHRF-0565_Pr/2021,hCoV-19/Bangladesh/CHRF-0513_Pr/2021,hCoV-19/Bangladesh/CHRF-GSB07-043/2021,hCoV-19/Bangladesh/CHRF-GSB08-073/2021,hCoV-19/Bangladesh/CHRF-0095/2020,hCoV-19/Bangladesh/CHRF-GSB04-154/2022
Goutam Buddha Das et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/PRTC-CVASU-BCSIR-0403-333/2021
Ebel et al	1	unknown	unknown	unknown	hCoV-19/USA/CO_c8ftxs_0117/2020
Ángela María Ruiz-Sternberg et al	1	unknown	unknown	unknown	hCoV-19/Colombia/DC-Mx111_sarscov2/2020
Xiang Zhao et al	8	unknown	unknown	unknown	hCoV-19/Kashgar/IVDC-01-01/2020,hCoV-19/Liaoning/IVDC-01/2020,hCoV-19/Liaoning/IVDC-03/2020,hCoV-19/Liaoning/IVDC-02/2020,hCoV-19/Liaoning/IVDC-04/2020,hCoV-19/Beijing/IVDC-02-06/2020,hCoV-19/Beijing/IVDC-01-01/2020,hCoV-19/Urumqi/IVDC-01-01/2020
Andres F. Cardona-Rios et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CWOHC-VG-SEC01551Q/2021
Katherine Laiton-Donato et al	7	unknown	unknown	unknown	hCoV-19/Colombia/DC-INS-VG-68/2020,hCoV-19/Colombia/NAR-INS-VG-5980/2021,hCoV-19/Colombia/DC-INS-VG-27573/2023,hCoV-19/Colombia/VAC-INS-VG-31528/2024,hCoV-19/Colombia/NAR-INS-VG-31776/2024,hCoV-19/Colombia/VAC-INS-VG-31514/2024,hCoV-19/Colombia/MET-INS-VG-31759/2024
Marina Muñoz et al	1	unknown	unknown	unknown	hCoV-19/Colombia/MAG-I84/2021
Uriel A. Hurtado Paez et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CIB-01-154/2021
Steev Loyola et al	1	unknown	unknown	unknown	hCoV-19/Colombia/BOL-UNIMOL-VG-005/2021
Karen Orostica et al	2	unknown	unknown	unknown	hCoV-19/Chile/RM-141649/2021,hCoV-19/Chile/LI-155870/2021
Roychoudhury et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ATL-UW-309667/2021
Rossana C Jaspe et al	11	unknown	unknown	unknown	hCoV-19/Venezuela/Zul414/2021,hCoV-19/Venezuela/LaG428/2020,hCoV-19/Venezuela/Bol5332/2021,hCoV-19/Venezuela/Apu491/2020,hCoV-19/Venezuela/Voy3618/2022,hCoV-19/Venezuela/Mir3182/2022,hCoV-19/Venezuela/Dtt8485/2022,hCoV-19/Venezuela/Lar6539/2024,hCoV-19/Venezuela/Bol7023/2024,hCoV-19/Venezuela/Suc4941/2024,hCoV-19/Venezuela/Dtto3982/2024
Maria Aguero-Rosenfeld et al	1	Sequencing identifies multiple, early introductions of SARS-CoV2 to New York City Region	unknown	https://dx.doi.org/10.1101/2020.04.15.20064931	hCoV-19/USA/NY-NYUMC232/2020
Samson Marseille et al	1	unknown	unknown	unknown	hCoV-19/Haiti/49230009/2020
Zahra Fereydouni et al	5	unknown	unknown	unknown	hCoV-19/Iran/H25108/2020,hCoV-19/Iran/47508/2020,hCoV-19/Iran/AG2451/2021,hCoV-19/Iran/AP2765/2022,hCoV-19/Iran/BQ151/2023
Juan-Manuel Anaya et al	1	unknown	unknown	unknown	hCoV-19/Colombia/ANT-C73/2020
Chika Kingsley Onwuamah et al	2	unknown	unknown	unknown	hCoV-19/Nigeria/S23/2020,hCoV-19/Nigeria/S18/2020
Roshdy et al	1	unknown	unknown	unknown	hCoV-19/Egypt/CPHL-NRC-10/2020
Mohamed Ahmed Ali et al	1	SARS-CoV-2 Genome Analysis of Japanese Travelers in Nile River Cruise	unknown	https://dx.doi.org/10.3389/fmicb.2020.01316	hCoV-19/Egypt/NRC-03/2020
Dipa Kinariwala et al	1	Phylogenetic clustering of the Indian SARS-CoV-2 genomes reveals the presence of distinct clades of viral haplotypes among states	unknown	https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1	hCoV-19/India/GJ-GBRC43/2020
Bhavesh Modi et al	1	Phylogenetic clustering of the Indian SARS-CoV-2 genomes reveals the presence of distinct clades of viral haplotypes among states	unknown	https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1	hCoV-19/India/GJ-GBRC49/2020
Fatma Bayrakdar et al B	1	Phylogenetic Analysis of SARS-CoV-2 Genomes in Turkey	unknown	https://dx.doi.org/10.1101/2020.05.15.095794	hCoV-19/Turkey/HSGM-5769/2020
Pawestri et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/JI-NIHRD-PME5011/2020,hCoV-19/Indonesia/JB-NIHRD-PME4992/2020
Massab Umair et al	46	unknown	unknown	unknown	hCoV-19/Pakistan/NIH-70/2020,hCoV-19/Pakistan/NIH-60/2020,hCoV-19/Pakistan/NIH-47/2020,hCoV-19/Pakistan/NIH-63/2020,hCoV-19/Pakistan/NIH-22/2020,hCoV-19/Pakistan/NIH-49/2020,hCoV-19/Pakistan/NIH-589048X/2021,hCoV-19/Pakistan/NIH-80/2020,hCoV-19/Pakistan/NIH-B154-S23/2021,hCoV-19/Pakistan/NIH-B137-S16/2021,hCoV-19/Pakistan/NIH-B21-S3/2021,hCoV-19/Pakistan/NIH-B21-S10/2021,hCoV-19/Pakistan/NIH-PAK-NC47/2021,hCoV-19/Pakistan/NIH-PAK-NC23/2021,hCoV-19/Pakistan/NIH-B21-S8/2021,hCoV-19/Pakistan/NIH-B156-S14/2022,hCoV-19/Pakistan/NIH-62/2020,hCoV-19/Pakistan/NIH-79/2020,hCoV-19/Pakistan/NIH-B44-S17/2022,hCoV-19/Pakistan/NIH-B108-S7/2022,hCoV-19/Pakistan/NIH-B84-S5/2022,hCoV-19/Pakistan/NIH-B72-S11/2022,hCoV-19/Pakistan/NIH-B35-S12/2022,hCoV-19/Pakistan/NIH-B78-S6/2022,hCoV-19/Pakistan/NIH-B89-S12/2022,hCoV-19/Pakistan/NIH-B56-GOV-S2/2022,hCoV-19/Pakistan/NIH-B90-S16/2022,hCoV-19/Pakistan/NIH-B47-S18/2022,hCoV-19/Pakistan/NIH-B167-S3/2023,hCoV-19/Pakistan/NIH-B164-S4/2023,hCoV-19/Pakistan/NIH-B168-S4/2024,hCoV-19/Pakistan/NIH-B168-S6/2024,hCoV-19/Pakistan/NIH-B143-S14/2023,hCoV-19/Pakistan/NIH-B145-S12/2023,hCoV-19/Pakistan/NIH-B131-S1/2023,hCoV-19/Pakistan/NIH-B162-S9/2023,hCoV-19/Pakistan/NIH-AHF-S17/2023,hCoV-19/Pakistan/NIH-B119-S5/2023,hCoV-19/Pakistan/NIH-AHF-S39/2023,hCoV-19/Pakistan/NIH-AHF-S38/2023,hCoV-19/Pakistan/NIH-AHF-S16/2023,hCoV-19/Pakistan/NIH-B119-S4/2023,hCoV-19/Pakistan/NIH-B121-S5/2023,hCoV-19/Pakistan/NIH-B113-S5/2022,hCoV-19/Pakistan/NIH-AHF-S34/2023,hCoV-19/Pakistan/NIH-B158-S21/2023
Krisnoadi Rahardjo et al	7	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-9422NT/2020,hCoV-19/Indonesia/JI-ITD-61816NT/2024,hCoV-19/Indonesia/JI-ITD-61793NT/2023,hCoV-19/Indonesia/JI-ITD-61891NT/2024,hCoV-19/Indonesia/JI-ITD-61901NT/2024,hCoV-19/Indonesia/JI-ITD-61725NT/2023,hCoV-19/Indonesia/JI-ITD-60269NT/2022
Maria I Lusida et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JI-ITD-4130NT/2020
Markus Antwerpen et al	5	unknown	unknown	unknown	hCoV-19/Afghanistan/IMB07962/2020,hCoV-19/Afghanistan/IMB07964/2020,hCoV-19/Afganistan/IMB15488/2021,hCoV-19/Afghanistan/IMB15488/2021,hCoV-19/Afganistan/IMB07956/2020
Herjuno A. Nugroho et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JB-BGR-BRIN-010/2020
Andani Eka Putra et al	5	unknown	unknown	unknown	hCoV-19/Indonesia/SB-65-FKUA/2020,hCoV-19/Indonesia/SB-91-FKUA/2020,hCoV-19/Indonesia/SB-74-FKUA/2020,hCoV-19/Indonesia/SB_27/2020,hCoV-19/Indonesia/SB_3/2020
Hidayat Trimarsanto et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JB-EIJK0358/2021
Gunadi et al	3	unknown	unknown	unknown	hCoV-19/Indonesia/YO-UGM-109997/2020,hCoV-19/Indonesia/YO-UGM-10002/2020,hCoV-19/Indonesia/YO-UGM-110286/2020
Muhammad Zakria et al	2	unknown	unknown	unknown	hCoV-19/Pakistan/KMU_PHRL_S141-950/2020,hCoV-19/Pakistan/KMU_PHRL_S132-941/2020
